pica_p	pica_p_uf	marc21
045B/02	$a	084 $a $2sfb
045B/03	$a	084 $a $2kab
045A	$a	050 $a
045C	$a	060 $a
045E	$a	084 $2sdnb
045G	$A	082 $q
045G	$a	082 $a
045V	$q	084 $q
045V	$i	084 $2
045V	$a	084 $a935 $sDE-16
045X	$a	084 $a
045X	$i	084 $2
045R	$9	936 $0936 $0(DE-627)
045R	$7	084 $0(DE-625)936 $0(DE-627)
045R	$a	084 $a936 $a
044N	$a	600/610/630/648/650/651/655 $a $x
046D	$T	880 $6
046D	$U	880 $6
046D	$i	247 $f
046D	$a	247 $a
046D	$z	247 $g
031N	$d	363 $a
031N	$e	363 $b
031N	$b	363 $k
031N	$c	363 $j
031N	$j	363 $i
031N	$n	363 $a
031N	$o	363 $b
031N	$l	363 $k
031N	$m	363 $j
031N	$k	363 $i
017D	$u	856 $u
017D	$m	856 $m
017D	$n	856 $n
017D	$q	856 $q
017D	$t	856 $t
017D	$v	856 $v
017D	$x	856 $x
017D	$y	856 $y
017D	$3	856 $3
017D	$4	856 $z
009@	$a	935 $h
009@	$b	090 $a935 $i
028A	$T	880 $6
028A	$U	880 $6
028A	$P	100 $a700 $a
028A	$a	100 $a700 $a
028A	$d	100 $a700 $a
028A	$c	100 $a700 $a
028A	$n	100 $b700 $b
028A	$l	100 $c700 $c
028A	$h	100 $d700 $d
028A	$9	100 $0(DE-627)
028A	$7	100 $0(DE-588)
028A	$B	100 $e
028A	$4	100 $4
046A	$T	880 $6
046A	$U	880 $6
046A	$i	246 $i
046A	$a	246 $a
029F	$T	880 $6
029F	$U	880 $6
029F	$9	710 $0(DE-627)711 $0(DE-627)
029F	$7	710 $0(DE-588)711 $0(DE-588)
029F	$a	710 $a711 $a
029F	$b	710 $b711 $e
029F	$n	711 $n
029F	$d	711 $d
029F	$c	711 $c
029F	$g	710 $g711 $g
029F	$B	710 $e711 $j
029F	$4	710 $4711 $4
044H	$a	937 $d
044H	$b	937 $e
044H	$c	937 $f
044S	$9	655 $0(DE-627)
044S	$a	655 $a
006X	$0	035 $a
017G	$u	856 $u
017G	$m	856 $m
017G	$n	856 $n
017G	$q	856 $q
017G	$t	856 $t
017G	$v	856 $v
017G	$x	856 $x
017G	$y	856 $y
017G	$3	856 $3
017G	$4	856 $z
028B/01	$T	880 $6
028B/01	$U	880 $6
028B/01	$P	700 $a
028B/01	$a	700 $a
028B/01	$d	700 $a
028B/01	$c	700 $a
028B/01	$l	700 $c
028B/01	$n	700 $b
028B/01	$h	700 $d
028B/01	$9	700 $0(DE-627)
028B/01	$7	700 $0(DE-588)
028B/01	$B	700 $e
028C	$T	880 $6
028C	$U	880 $6
028C	$P	700 $a
028C	$a	700 $a
028C	$d	700 $a
028C	$c	700 $a
028C	$n	700 $b
028C	$l	700 $c
028C	$h	700 $d
028C	$9	700 $0(DE-627)
028C	$7	700 $0(DE-588)
028C	$B	700 $e
028C	$4	700 $4
044A	$N	600/610/611/630/647/648/651/655 $N
044A	$a	600/610/611/630/647/648/651/655 $a $x653 $a
044A	$b	600/610/611/630/647/648/651/655 $b
044A	$c	600/610/611/630/647/648/651/655 $c
044A	$d	600/610/611/630/647/648/651/655 $d
044A	$e	600/610/611/630/647/648/651/655 $e
044A	$f	600/610/611/630/647/648/651/655 $f
044A	$g	600/610/611/630/647/648/651/655 $g
044A	$h	600/610/611/630/647/648/651/655 $h
044A	$j	600/610/611/630/647/648/651/655 $j
044A	$k	600/610/611/630/647/648/651/655 $k
044A	$l	600/610/611/630/647/648/651/655 $l
044A	$m	600/610/611/630/647/648/651/655 $m
044A	$n	600/610/611/630/647/648/651/655 $n
044A	$o	600/610/611/630/647/648/651/655 $o
044A	$p	600/610/611/630/647/648/651/655 $p
044A	$q	600/610/611/630/647/648/651/655 $q
044A	$r	600/610/611/630/647/648/651/655 $r
044A	$s	600/610/611/630/647/648/651/655 $s
044A	$t	600/610/611/630/647/648/651/655 $t
044A	$u	600/610/611/630/647/648/651/655 $u
044A	$v	600/610/611/630/647/648/651/655 $v
044A	$x	600/610/611/630/647/648/651/655 $x
044A	$y	600/610/611/630/647/648/651/655 $y
044A	$z	600/610/611/630/647/648/651/655 $z
044C	$N	600/610/611/630/647/648/651/655 $N
044C	$a	600/610/611/630/647/648/651/655 $a
044C	$b	600/610/611/630/647/648/651/655 $b
044C	$c	600/610/611/630/647/648/651/655 $c
044C	$d	600/610/611/630/647/648/651/655 $d
044C	$e	600/610/611/630/647/648/651/655 $e
044C	$f	600/610/611/630/647/648/651/655 $f
044C	$g	600/610/611/630/647/648/651/655 $g
044C	$h	600/610/611/630/647/648/651/655 $h
044C	$j	600/610/611/630/647/648/651/655 $j
044C	$k	600/610/611/630/647/648/651/655 $k
